标题,小区,年限,户型,面积,楼层,单价,装修,总价,地址1,地址2,地址3,发布日期,url
文汇苑汇才苑85平米两室两厅一卫精装修南北通透拎包入住送车库,汇才苑,2014,2室2厅1卫,85,低层(共11层),11764,精装修,100,邗江,汽车西站,文汇西路,2018年04月28日,https://yangzhou.anjuke.com/prop/view/A1205652169?from=filter&spread=commsearch_p&position=105&kwtype=filter&now_time=1529160656
新盛花园 2室2厅精装修 阳光三楼 带车库15平 邗实梅中房,新盛花苑,2010,2室2厅1卫,80,共5层,13500,精装修,108,邗江,京华城,新盛路58号,2018年04月25日,https://yangzhou.anjuke.com/prop/view/A1201645779?from=filter&spread=commsearch_p&position=103&kwtype=filter&now_time=1529160656
扬子新苑靠 蓝爵庄园金地艺境滨江花园 将装修提包入住位置佳,扬子新苑(A区),2008,2室1厅1卫,89,中层(共11层),8426,精装修,75,邗江,汽车西站,钟灵大道,2018年06月02日,https://yangzhou.anjuke.com/prop/view/A1265709295?from=filter&spread=commsearch_p&position=102&kwtype=filter&now_time=1529160656
西湖景园 两室 88平98.8万 中装 无税电梯房 送车库,西湖景园,2010,2室2厅1卫,88,高层(共6层),11227,精装修,98.8,邗江,汽车西站,西扬路,2018年05月15日,https://yangzhou.anjuke.com/prop/view/A1231254310?from=filter&spread=commsearch_p&position=101&kwtype=filter&now_time=1529160656
扬子新苑C区88平 中层婚装两室 厅通阳台有车库 双证好贷款,扬子新苑(C区),2012,2室2厅1卫,88,中层(共11层),8863,精装修,78,邗江,汽车西站,钟灵大道,2018年06月05日,https://yangzhou.anjuke.com/prop/view/A1269104169?from=filter&spread=commsearch_p&position=100&kwtype=filter&now_time=1529160656
万达旁 兴扬苑 精装两房带车库 采光好 靠新港名兴金鑫花园,兴扬苑,2000,2室2厅1卫,81,中层(共6层),11728,精装修,95,邗江,汽车西站,邗江中路,2018年06月02日,https://yangzhou.anjuke.com/prop/view/A1266106406?from=filter&spread=commsearch_p&position=99&kwtype=filter&now_time=1529160656
卓杰 急售 蓝爵庄园 婚房2室2厅 有车库 100万提包入住,蓝爵庄园,2014,2室2厅1卫,85,高层(共6层),11764,精装修,100,邗江,汽车西站,施沙路,2018年06月12日,https://yangzhou.anjuke.com/prop/view/A1279795223?from=filter&spread=commsearch_p&position=98&kwtype=filter&now_time=1529160656
四季园 2室精装 南北通透 二楼阳光好 不沿街,四季园秋南苑,2000,2室1厅1卫,55,低层(共6层),13236,精装修,72.8,邗江,汽车西站,秋雨西路21号,2018年05月29日,https://yangzhou.anjuke.com/prop/view/A1259646371?from=filter&spread=commsearch_p&position=97&kwtype=filter&now_time=1529160656
富川瑞园依云城邦户型方正，南北通透有车库，随时看房,依云城邦,2009,2室2厅1卫,88,共5层,11590,毛坯,102,邗江,扬州大学城,依人路,2018年06月02日,https://yangzhou.anjuke.com/prop/view/A1265060396?from=filter&spread=commsearch_p&position=96&kwtype=filter&now_time=1529160656
连运小区2/2/1 东南片区核心地带，临南区大润发,连运小区,2002,2室2厅1卫,85,共5层,12094,毛坯,102.8,广陵,汇金广场,渡江南路199号,2018年06月04日,https://yangzhou.anjuke.com/prop/view/A1267530568?from=filter&spread=commsearch_p&position=95&kwtype=filter&now_time=1529160656
扬州市西湖东苑地段繁华生活便利小区环境好位置佳优雅,西湖东苑,2005,2室2厅1卫,89,低层(共6层),11235,毛坯,100,邗江,美琪学校,邗江北路,2018年05月06日,https://yangzhou.anjuke.com/prop/view/A1215422090?from=filter&spread=commsearch_p&position=94&kwtype=filter&now_time=1529160656
水木阳光2楼98平米精装房屋,水木阳光,2012,2室2厅1卫,98,共5层,10000,精装修,98,仪征市,仪征市,沿山河东路11号,2018年05月21日,https://yangzhou.anjuke.com/prop/view/A1244477774?from=filter&spread=commsearch_p&position=93&kwtype=filter&now_time=1529160656
市中心扬子名苑1楼98平精装修送自行车库,扬子名苑,2008,2室2厅1卫,98,共5层,10408,精装修,102,仪征市,仪征市,新河路167号,2018年05月25日,https://yangzhou.anjuke.com/prop/view/A1253407687?from=filter&spread=commsearch_p&position=92&kwtype=filter&now_time=1529160656
荷园公寓中等装修多层2楼半，阳光好，南北通透，送车库。,荷园公寓,2000,2室2厅1卫,90,共5层,8422,精装修,75.8,江都市,江都市,长江路208号,2018年05月24日,https://yangzhou.anjuke.com/prop/view/A1250976559?from=filter&spread=commsearch_p&position=91&kwtype=filter&now_time=1529160656
