标题	小区	年限	户型	面积	楼层	单价	装修	总价	地址1	地址2	地址3	发布日期	url
JWL售门面梅岭本部双学玉器街101号 中装3房带25平院子	粮食局宿舍	1998	3室1厅1卫	76	共3层	22105	简单装修	168	邗江	汽车西站	玉器街101号	2018年9月29日	https://yangzhou.anjuke.com/prop/view/A1435868782?from=filter&spread=commsearch_p&position=1244&kwtype=filter&now_time=1538808786
JWL售门面梅岭本部双学玉器街101号 中装3房带25平院子	粮食局宿舍	1998	3室1厅1卫	76	共3层	22105	简单装修	168	邗江	汽车西站	玉器街101号	2018年9月29日	https://yangzhou.anjuke.com/prop/view/A1435868782?from=filter&spread=commsearch_p&position=2248&kwtype=filter&now_time=1538808996
玉器街 梅小梅中本部 邻窦庄新村 高桥二村 马太巷 梅岭东苑	玉器街28号小区	1995	3室1厅1卫	76	共4层	22105	简单装修	168	邗江	汽车西站	玉器街28号	2018年9月7日	https://yangzhou.anjuke.com/prop/view/A1402820552?from=filter&spread=commsearch_p&position=2307&kwtype=filter&now_time=1538809009
玉器街 梅小梅中本部 邻窦庄新村 高桥二村 马太巷 梅岭东苑	玉器街28号小区	1995	3室1厅1卫	76	共4层	22105	简单装修	168	邗江	汽车西站	玉器街28号	2018年9月7日	https://yangzhou.anjuke.com/prop/view/A1402820552?from=filter&spread=commsearch_p&position=1165&kwtype=filter&now_time=1538808773
远大 锦旺巷 精装 梅小梅中 拎包入住 商业带繁华 美食小街	锦旺巷23号小区	2008	2室2厅1卫	70.2	共5层	22092	精装修	155	邗江	汽车西站	锦旺巷23号	2018年9月5日	https://yangzhou.anjuke.com/prop/view/A1398801185?from=filter&spread=commsearch_p&position=180&kwtype=filter&now_time=1538808561
远大 锦旺巷 精装 梅小梅中 拎包入住 商业带繁华 美食小街	锦旺巷23号小区	2008	2室2厅1卫	70.2	共5层	22092	精装修	155	邗江	汽车西站	锦旺巷23号	2018年9月5日	https://yangzhou.anjuke.com/prop/view/A1398801185?from=filter&spread=commsearch_p&position=189&kwtype=filter&now_time=1538808573
玉器街一楼带院子 精装修 家具家电全留 拎包即住	玉器街24号小区	2015	2室2厅1卫	70.2	共4层	22079	精装修	155	邗江	汽车西站	玉器街24号	2018年9月15日	https://yangzhou.anjuke.com/prop/view/A1414997020?from=filter&spread=commsearch_p&position=177&kwtype=filter&now_time=1538808561
玉器街一楼带院子 精装修 家具家电全留 拎包即住	玉器街24号小区	2015	2室2厅1卫	70.2	共4层	22079	精装修	155	邗江	汽车西站	玉器街24号	2018年9月15日	https://yangzhou.anjuke.com/prop/view/A1414997020?from=filter&spread=commsearch_p&position=186&kwtype=filter&now_time=1538808573
梅岭双校区 玉器街3楼 精装3室 靠窦庄小区马太巷 凤凰东巷	玉器街84号小区	1999	3室1厅1卫	72	共3层	22055	精装修	158.8	邗江	汽车西站	玉器街84号	2018年9月5日	https://yangzhou.anjuke.com/prop/view/A1399589415?from=filter&spread=commsearch_p&position=1352&kwtype=filter&now_time=1538808810
梅岭双校区 玉器街3楼 精装3室 靠窦庄小区马太巷 凤凰东巷	玉器街84号小区	1999	3室1厅1卫	72	共3层	22055	精装修	158.8	邗江	汽车西站	玉器街84号	2018年9月5日	https://yangzhou.anjuke.com/prop/view/A1399589415?from=filter&spread=commsearch_p&position=1416&kwtype=filter&now_time=1538808822
梅岭双校区 玉器街3楼 精装3室 靠窦庄小区马太巷 凤凰东巷	玉器街84号小区	1999	3室1厅1卫	72	共3层	22055	精装修	158.8	邗江	汽车西站	玉器街84号	2018年9月5日	https://yangzhou.anjuke.com/prop/view/A1399589415?from=filter&spread=commsearch_p&position=2130&kwtype=filter&now_time=1538808971
