标题,小区,年限,户型,面积,楼层,单价,装修,总价,地址1,地址2,地址3,发布日期,url
汇景花苑 3室2厅1卫 95平米128万,汇锦花苑,2010,3室2厅1卫,95.0,共1层,13473.0,毛坯,128,邗江,大润发邗江店,司徒庙路399号,2018年07月11日,https://yangzhou.anjuke.com/prop/view/A1318727447?from=filter&spread=commsearch_p&position=1331&kwtype=filter&now_time=1532228741
友谊花园精装修小3室低楼层,友谊花园,2005,3室1厅1卫,81.0,共5层,10345.0,精装修,83.8,江都市,江都市,长江西路,2018年06月06日,https://yangzhou.anjuke.com/prop/view/A1270142777?from=filter&spread=commsearch_p&position=1329&kwtype=filter&now_time=1532228741
东方名城  三室三厅 95平,东方名城,2012,3室3厅2卫,95.0,共1层,12526.0,精装修,119,广陵,广陵产业园,滨河路,2018年07月19日,https://yangzhou.anjuke.com/prop/view/A1329704002?from=filter&spread=commsearch_p&position=1328&kwtype=filter&now_time=1532228741
莱福花园精装修两室 设施齐全 提包入住,莱福花园,2008,2室1厅1卫,80.0,共5层,13625.0,精装修,109,邗江,现代广场,邗江中路519号,2018年06月17日,https://yangzhou.anjuke.com/prop/view/A1286247316?from=filter&spread=commsearch_p&position=1327&kwtype=filter&now_time=1532228741
出售康乐新村康祥苑 紧邻四季园新村 装修清爽 交通方便,康乐新村,2000,2室2厅1卫,86.0,共5层,13953.0,精装修,120,邗江,大润发邗江店,秋雨东路155号,2018年06月07日,https://yangzhou.anjuke.com/prop/view/A1271997077?from=filter&spread=commsearch_p&position=1326&kwtype=filter&now_time=1532228741
鸿福三村梅岭北校区，2楼，三室，提包入住，有独立车库。,鸿福三村,2010,3室2厅1卫,95.0,共5层,14526.0,精装修,138,维扬,城北乡,玉人路2-25号,2018年06月05日,https://yangzhou.anjuke.com/prop/view/A1269280978?from=filter&spread=commsearch_p&position=1325&kwtype=filter&now_time=1532228741
石油新村 南北通透 两室两厅 一楼带院子靠近梅香苑宝带桂香苑,石油新村,2008,2室1厅1卫,81.0,共5层,21703.0,精装修,175.8,邗江,现代广场,兴城西路6号,2018年05月07日,https://yangzhou.anjuke.com/prop/view/A1217204279?from=filter&spread=commsearch_p&position=1324&kwtype=filter&now_time=1532228741
急售！西湖西苑两室精装+二楼不沿街有车库采光好,西湖西苑,2012,2室2厅1卫,82.0,共5层,12926.0,精装修,106,邗江,大润发邗江店,平山堂西路249号,2018年07月18日,https://yangzhou.anjuke.com/prop/view/A1328419696?from=filter&spread=commsearch_p&position=1323&kwtype=filter&now_time=1532228741
花园学校 石油新村对面新桂香苑旁 新梅香苑3房 送车库,新城花园梅香苑,2000,3室2厅1卫,95.0,共5层,12821.0,精装修,121.8,开发,欧尚,兴城西路45号,2018年05月04日,https://yangzhou.anjuke.com/prop/view/A1212924730?from=filter&spread=commsearch_p&position=1322&kwtype=filter&now_time=1532228741
万科城97平方高装新装修175万,万科城,2015,3室2厅1卫,97.0,共5层,18041.0,精装修,175,维扬,瘦西湖,扬子江北路,2018年06月04日,https://yangzhou.anjuke.com/prop/view/A1267497814?from=filter&spread=commsearch_p&position=1321&kwtype=filter&now_time=1532228741
蜀岗生态瘦西湖旁万科城精装修提包入住,万科城,2013,3室2厅1卫,98.0,共5层,17346.0,精装修,170,维扬,瘦西湖,扬子江北路,2018年05月30日,https://yangzhou.anjuke.com/prop/view/A1261160951?from=filter&spread=commsearch_p&position=1287&kwtype=filter&now_time=1532228729
急售绿杨新苑3室 位置优越 交通便利 有钥匙随时看靠京华城,绿杨新苑,2007,3室2厅1卫,93.0,共5层,12903.0,简单装修,120,邗江,汽车西站,"文汇西路,真州中路",2018年07月08日,https://yangzhou.anjuke.com/prop/view/A1315422425?from=filter&spread=commsearch_p&position=1286&kwtype=filter&now_time=1532228729
大院子40平武庄小区精装3房靠康乐新村四季园沃尔玛宝带新村,武庄小区,2000,3室1厅1卫,93.0,共5层,13548.0,精装修,126,开发,文汇广场,秋雨东路8号,2018年07月14日,https://yangzhou.anjuke.com/prop/view/A1323832518?from=filter&spread=commsearch_p&position=1285&kwtype=filter&now_time=1532228729
高桥二村中装3室2楼东西厅+有车库+梅岭本部双校区+莱茵苑,高桥二村,2000,3室2厅1卫,98.0,共3层,16836.0,精装修,165,维扬,漕河,马太西巷,2018年06月29日,https://yangzhou.anjuke.com/prop/view/A1302114556?from=filter&spread=commsearch_p&position=1284&kwtype=filter&now_time=1532228729
{远大优选}宝带新村两房朝南装修清爽采光好户型方正靠康乐新村,宝带新村,2002,3室2厅1卫,80.0,共1层,11500.0,精装修,92,维扬,市政府,文汇东路340号,2018年06月23日,https://yangzhou.anjuke.com/prop/view/A1294176255?from=filter&spread=commsearch_p&position=1283&kwtype=filter&now_time=1532228729
京华城文汇苑精装2室2厅婚房设施齐全南北通透提包入住,文汇苑,2010,2室2厅1卫,85.0,低层(共11层),14800.0,精装修,125.8,邗江,扬州大学城,站南路1号,2018年07月20日,https://yangzhou.anjuke.com/prop/view/A1331580586?from=filter&spread=commsearch_p&position=1282&kwtype=filter&now_time=1532228729
万科城三房出售靠近瘦西湖御景苑唐郡扬州天下万科翡翠云山,万科城,2015,3室2厅1卫,98.0,共5层,18265.0,精装修,179,维扬,瘦西湖,扬子江北路,2018年05月20日,https://yangzhou.anjuke.com/prop/view/A1241928407?from=filter&spread=commsearch_p&position=1281&kwtype=filter&now_time=1532228729
急售绿扬新苑二区带车库紧邻京华城香颂溪岸设施齐全拎包即住,绿扬新苑(西区),2010,2室2厅1卫,83.0,低层(共6层),13855.0,精装修,115,邗江,京华城,绿杨路,2018年06月30日,https://yangzhou.anjuke.com/prop/view/A1304016082?from=filter&spread=commsearch_p&position=1280&kwtype=filter&now_time=1532228729
文昌花园1楼，98平，高装，142万，车库18平，阳光好,文昌花园,2007,2室2厅1卫,98.0,共5层,14489.0,精装修,142,广陵,曲江公园,文昌中路18号,2018年06月13日,https://yangzhou.anjuke.com/prop/view/A1280405033?from=filter&spread=commsearch_p&position=1279&kwtype=filter&now_time=1532228729
